2026-06-09 22:39:03 - GET /docs - 200 - 0.51ms
2026-06-09 22:39:13 - GET /docs - 200 - 0.00ms
2026-06-09 22:39:23 - GET /docs - 200 - 0.62ms
2026-06-09 22:39:33 - GET /docs - 200 - 0.00ms
2026-06-09 22:39:43 - GET /docs - 200 - 0.00ms
2026-06-09 22:40:29 - GET / - 200 - 2.52ms
2026-06-09 22:40:29 - GET /static.js - 404 - 1.08ms
2026-06-09 22:40:30 - GET /.well-known/appspecific/com.chrome.devtools.json - 404 - 2.77ms
2026-06-09 22:40:30 - GET /favicon.ico - 404 - 0.00ms
2026-06-09 22:44:00 - GET / - 200 - 3.55ms
2026-06-09 22:44:01 - GET /static.js - 404 - 0.00ms
2026-06-09 22:44:01 - GET /.well-known/appspecific/com.chrome.devtools.json - 404 - 0.00ms
2026-06-09 22:44:01 - GET /favicon.ico - 404 - 1.01ms
2026-06-09 22:44:47 - GET / - 200 - 1.01ms
2026-06-09 22:44:48 - GET /docs - 200 - 0.00ms
2026-06-09 22:44:48 - GET /.well-known/appspecific/com.chrome.devtools.json - 404 - 0.00ms
2026-06-09 22:44:48 - GET /favicon.ico - 404 - 2.01ms
2026-06-09 22:44:59 - GET /docs - 200 - 5.86ms
2026-06-09 22:45:09 - GET /docs - 200 - 0.00ms
2026-06-09 22:45:19 - GET /docs - 200 - 0.00ms
2026-06-09 22:45:29 - GET /docs - 200 - 0.00ms
2026-06-09 22:45:39 - GET /docs - 200 - 1.02ms
2026-06-09 22:45:49 - GET /docs - 200 - 0.00ms
2026-06-09 22:45:59 - GET /docs - 200 - 1.59ms
2026-06-09 22:46:54 - GET / - 200 - 3.39ms
2026-06-09 22:46:54 - GET /static.js - 404 - 0.00ms
2026-06-09 22:46:55 - GET /.well-known/appspecific/com.chrome.devtools.json - 404 - 0.00ms
2026-06-09 22:46:55 - GET /favicon.ico - 404 - 0.99ms
2026-06-09 22:49:14 - GET / - 200 - 0.00ms
2026-06-09 22:49:14 - GET /static.js - 404 - 1.03ms
2026-06-09 22:49:15 - GET /.well-known/appspecific/com.chrome.devtools.json - 404 - 1.00ms
2026-06-09 22:49:15 - GET /favicon.ico - 404 - 0.00ms
2026-06-09 22:50:46 - GET / - 200 - 0.00ms
2026-06-09 22:50:47 - GET /static/static.js - 200 - 239.61ms
2026-06-09 22:50:47 - GET /favicon.ico - 404 - 1.00ms
2026-06-09 22:50:47 - GET /docs - 200 - 3.52ms
2026-06-09 22:50:47 - GET /.well-known/appspecific/com.chrome.devtools.json - 404 - 0.59ms
2026-06-09 22:50:57 - GET /docs - 200 - 1.10ms
